user,deposit_attempts,sucess_deposit_attempts,num_cards,num_cards_success,first_deposit,last_deposit,deposit_sucess_ratio,deposit_time_delta,signup_time_delta,calls,docs_uploaded,docs_approved,approval_rate,sales_view,conversion_owner,sales_agent,account_create_on_date,country_name,tag,channel,ava_business,profile_state,num_closed_trade
14994202,6,1,2,1,52:49.3,52:49.3,0.166666667,0,13,1,0,0,0,1,Daniel Krastev,1,04:53.7,South Africa,avafx,Default,South Africa,PROFILE_STATE_LIMITED,16
15576791,4,2,1,1,38:31.2,42:20.1,0.5,21,0,2,5,2,0.4,0,AvaFX Customer Service,0,57:32.1,Chile,126295,Affiliates,Latam,PROFILE_STATE_FULL,44
15046263,2,1,2,1,24:55.8,24:55.8,0.5,0,0,3,2,2,1,1,Michel Cohen,1,17:16.8,Finland,avafx,Default,English,PROFILE_STATE_FULL,7
15744406,2,2,1,1,18:12.2,31:48.5,1,2,0,0,16,2,0.125,1,AvaFX Customer Service,0,12:58.7,Philippines,avafx,Default,English,PROFILE_STATE_FULL,11
15628493,1,1,1,1,11:25.3,11:25.3,1,0,4,0,2,2,1,0,Thomas Magen,1,06:45.3,Malaysia,189909,Affiliates,Ext. Malaysia,PROFILE_STATE_FULL,83
15722302,1,1,1,1,00:40.6,00:40.6,1,0,1,0,2,2,1,1,AvaFX Customer Service,0,25:58.8,Turks and Caicos Islands,86776,SEO,English,PROFILE_STATE_FULL,14
15541603,2,1,1,1,54:20.5,54:20.5,0.5,0,4,1,4,2,0.5,1,Dana Pavlova,1,29:55.1,Sweden,86776,SEO,English,PROFILE_STATE_FULL,28
14861135,32,28,2,2,25:55.7,43:00.5,0.875,138,2,3,2,2,1,1,Dana Pavlova,1,41:51.9,Kosovo,124472,Affiliates,English,PROFILE_STATE_ARCHIVED,1174
14970946,33,3,3,1,26:57.9,16:47.3,0.090909091,4,0,0,11,10,0.909090909,1,Eran Atia,1,59:49.2,Israel,fusionpartners_google_il_search_brand_1,SEM,Ext. Atrade,PROFILE_STATE_LIMITED,47
14577479,2,1,1,1,09:22.3,09:22.3,0.5,0,2,0,14,4,0.285714286,1,AD Unassigned,0,12:56.9,Croatia,169939,Affiliates,English,PROFILE_STATE_FULL,45
14525146,3,1,1,1,45:58.2,45:58.2,0.333333333,0,4,2,2,2,1,1,Giuseppe Moscato,1,41:53.6,Italy,86776,SEO,Italian,PROFILE_STATE_FULL,1
14637233,1,1,1,1,12:10.6,12:10.6,1,0,0,0,4,2,0.5,0,Davide Modigliani,1,40:06.9,Spain,154114,Affiliates,Ext. Milano,PROFILE_STATE_FULL,2
14957189,1,1,1,1,01:37.5,01:37.5,1,0,0,2,2,2,1,0,Pelin YenerSales,1,22:16.9,Portugal,124719,Affiliates,Latam,PROFILE_STATE_FULL,0
14702471,1,1,1,1,05:29.3,05:29.3,1,0,0,0,2,2,1,1,AvaFX Customer Service,0,18:36.9,Poland,127053,Affiliates,Ext. Poland,PROFILE_STATE_FULL,93
14886852,1,1,1,1,14:13.8,14:13.8,1,0,2,1,2,2,1,1,Hank Kaboub,1,36:03.4,South Africa,86776,SEO,South Africa,PROFILE_STATE_FULL,105
13302676,1,1,1,1,48:43.7,48:43.7,1,0,644,0,6,1,0.166666667,1,AvaFX Customer Service,0,53:58.2,United Arab Emirates,125322,Affiliates,Ext. Abu Dhabi,PROFILE_STATE_LIMITED,8
15025486,1,1,1,1,56:17.9,56:17.9,1,0,16,2,2,2,1,1,Arina Knysh,1,28:57.1,Kazakhstan,avafx,Default,Ext. Kazakhstan,PROFILE_STATE_FULL,0
14637337,20,13,1,1,25:30.5,43:19.7,0.65,123,7,1,3,2,0.666666667,1,Daniel Krastev,1,24:56.2,United Kingdom,asa_app,SEM,United Kingdom,PROFILE_STATE_FULL,162
14913739,5,1,3,1,22:40.7,22:40.7,0.2,0,4,2,10,9,0.9,1,Alev Nazli,1,19:51.2,Canada,182374,Affiliates,Canada,PROFILE_STATE_FULL,0
14694311,3,1,1,1,40:25.7,40:25.7,0.333333333,0,1,2,4,3,0.75,0,AvaFX Customer Service,0,15:43.5,Italy,172791,Affiliates,Italian,PROFILE_STATE_FULL,156
15575457,2,1,1,1,13:55.6,13:55.6,0.5,0,6,1,10,2,0.2,1,Milan Thomas,1,47:50.3,Ireland,avafx,Default,English,PROFILE_STATE_FULL,0
15324981,2,1,1,1,09:28.1,09:28.1,0.5,0,0,0,2,2,1,0,Thomas Magen,1,56:17.0,Malaysia,189909,Affiliates,Ext. Malaysia,PROFILE_STATE_FULL,537
15391485,1,1,1,1,17:15.4,17:15.4,1,0,0,0,2,2,1,1,AvaFX Customer Service,0,33:54.7,Poland,133369thirdcampaign,Affiliates,Ext. Poland,PROFILE_STATE_FULL,335
12944026,3,2,1,1,00:55.6,03:51.7,0.666666667,0,566,0,8,3,0.375,1,AD Unassigned,0,24:06.0,Mongolia,86776b,SEO,Ext. Mongolia,PROFILE_STATE_LIMITED,7
14674400,2,1,1,1,44:28.7,44:28.7,0.5,0,1,3,3,3,1,1,Pelin YenerSales,1,59:57.6,Turkey,172774,Affiliates,English,PROFILE_STATE_FULL,27
14856052,5,1,3,1,16:29.5,16:29.5,0.2,0,4,1,4,2,0.5,0,Pelin YenerSales,1,46:16.2,Turkey,124719,Affiliates,English,PROFILE_STATE_FULL,8
14605848,3,1,1,1,57:31.3,57:31.3,0.333333333,0,0,1,2,2,1,0,Anton Yordanov,1,42:26.4,Chile,175491,Affiliates,Latam,PROFILE_STATE_FULL,22
13030020,1,1,1,1,08:33.9,08:33.9,1,0,656,2,8,2,0.25,1,Ross Dimitrov,1,54:36.5,South Africa,fusionpartners_google_za_search_brand,SEM,South Africa,PROFILE_STATE_FULL,10
14609675,7,3,2,2,03:11.7,03:14.7,0.428571429,93,0,0,14,2,0.142857143,1,AvaFX Customer Service,0,43:54.0,South Africa,58210,Affiliates,South Africa,PROFILE_STATE_FULL,8
14729513,1,1,1,1,46:30.2,46:30.2,1,0,1,2,8,2,0.25,1,AD Unassigned,0,17:29.3,South Africa,avafx,Default,South Africa,PROFILE_STATE_FULL,2
14539200,9,1,1,1,35:17.4,35:17.4,0.111111111,0,4,1,5,2,0.4,1,Giuseppe Moscato,1,02:07.6,Italy,uac_equation_it,SEM,Italian,PROFILE_STATE_FULL,252
